row_label,row_type,dhs_continent,analytical_region,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2011,2012,2013,2014,2015,2016,source,source_url
Total,grand_total,,,128502,538381,1427337,2814554,2081261,2742137,5248568,3694294,8202388,6347380,4295510,699375,856608,2499268,3213749,4248203,6244379,9775398,10299430,1042625,1062040,1031631,990553,1016518,1051031,1183505,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Europe,continent,Europe,,99618,422853,1369423,2622617,1880389,2252050,4638684,3576411,7572569,4985411,2560340,444404,472524,1404973,1133443,826327,669694,1349219,1349609,95429,90712,86956,91095,87790,90789,98043,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Austria-Hungary,country,Europe,Eastern Europe,0,0,0,0,3375,60127,314787,534059,2001376,1154727,60891,13902,13677,113015,27590,20387,20437,27529,33929,4325,4703,3208,2061,2058,2965,2620,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Austria,country,Europe,,0,0,0,0,2700,54529,204805,268218,532416,589174,31392,6678,8496,81354,17571,14239,15374,18234,21151,3319,3654,2199,1053,1088,1928,1621,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Hungary,country,Europe,,0,0,0,0,483,5598,109982,203350,685567,565553,29499,7224,5181,31661,10019,6148,5063,9295,12778,1006,1049,1009,1008,970,1037,999,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Belgium,country,Europe,Northern & Western Europe,28,20,3996,5765,5785,6991,18738,19642,37429,32574,21511,4013,12473,18885,9647,5413,7028,7077,8157,732,700,698,803,775,809,821,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Bulgaria,country,Europe,Eastern Europe,0,0,0,0,0,0,0,52,34651,27180,2824,1062,449,97,598,1011,1124,16948,40003,2465,2549,2322,2720,2886,2585,2560,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Czechoslovakia,country,Europe,Eastern Europe,0,0,0,0,0,0,0,0,0,0,101182,17757,8475,1624,2758,5654,5678,8970,18691,1510,1374,1316,1258,1168,1236,1299,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Denmark,country,Europe,Northern & Western Europe,173,927,671,3227,13553,29278,85342,56671,61227,45830,34406,3470,4549,10918,9797,4405,4847,6189,6049,545,473,492,546,533,634,562,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
