year,geo,state_fips,abbr,name,total_population,black_alone,aian_alone,black_alone_share,aian_alone_share,dataset,total_variable,black_variable,aian_variable,retrieved_at_utc
2000,state,01,AL,Alabama,4447100,3162808,1155930,0.7112068539047919,0.25992894245688203,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,02,AK,Alaska,626932,434534,21787,0.6931118526411157,0.034751775312155064,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,04,AZ,Arizona,5130632,3873611,158873,0.7549968502905685,0.030965580848519247,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,05,AR,Arkansas,2673400,2138598,418950,0.7999543652277998,0.15671055584648763,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,06,CA,California,33871648,20170059,2263882,0.5954850203922761,0.06683707860922504,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,08,CO,Colorado,4301261,3560005,165063,0.8276654218379215,0.038375490350387946,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,09,CT,Connecticut,3405565,2780355,309843,0.8164151910182305,0.09098137900759493,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,10,DE,Delaware,783600,584773,150666,0.7462646758550281,0.19227411944869832,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,11,DC,District of Columbia,572059,176101,343312,0.3078371286877752,0.6001339022723181,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,12,FL,Florida,15982378,12465029,2335505,0.7799233005251158,0.14613000643583826,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,13,GA,Georgia,8186453,5327281,2349542,0.6507434904958228,0.28700366324707416,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,15,HI,Hawaii,1211537,294102,22003,0.24275114998551428,0.018161228257989645,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,16,ID,Idaho,1293953,1177304,5456,0.9098506669098492,0.004216536458433962,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,17,IL,Illinois,12419293,9125471,1876875,0.7347818430566055,0.15112575248848706,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,18,IN,Indiana,6080485,5320022,510034,0.8749338251800638,0.08388047992882147,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,19,IA,Iowa,2926324,2748640,61853,0.9392808178451874,0.02113675724219191,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,20,KS,Kansas,2688418,2313944,154198,0.8607084166227127,0.057356408118082826,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,21,KY,Kentucky,4041769,3640889,295994,0.9008157071816821,0.07323377461700557,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,22,LA,Louisiana,4468976,2856161,1451944,0.6391086011650096,0.3248941144459044,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,23,ME,Maine,1274923,1236014,6760,0.9694812941644319,0.005302281000499638,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,24,MD,Maryland,5296486,3391308,1477411,0.6402939609393851,0.2789417360869074,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,25,MA,Massachusetts,6349097,5367286,343454,0.8453621042488404,0.05409493665004646,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,26,MI,Michigan,9938444,7966053,1412742,0.8015392550383138,0.1421492136998508,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,27,MN,Minnesota,4919479,4400282,171731,0.8944609784897953,0.03490837139461313,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,28,MS,Mississippi,2844658,1746099,1033809,0.6138168454696488,0.36342119158085084,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,29,MO,Missouri,5595211,4748083,629391,0.8485976668261483,0.11248744685410433,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,30,MT,Montana,902195,817229,2692,0.9058230205221709,0.002983833871834803,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,31,NE,Nebraska,1711263,1533261,68541,0.8959820904209347,0.04005287322872054,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
2000,state,32,NV,Nevada,1998257,1501886,135477,0.7515980176724015,0.06779758559584678,dec/sf1,P001001,P003003,P003004,2026-06-14T20:37:54+00:00
