year,total_population,foreign_born_share_target,tfr,immigrant_admissions_prev_decade,pop_source,fb_source,tfr_source,imm_source
1870,38558371,0.144,4.55,0,Census POP-WP056 / NHGIS 1870_cPAX NT1,Census POP-WP081 / NHGIS 1870_cPAX NT5,Haines Ab1-10,DHS Yearbook Table 1
1880,50189209,0.133,4.24,2812191,Census POP-WP056 / NHGIS 1880_cPAX NT1,Census POP-WP081 / NHGIS 1880_cPAX NT52,Haines Ab1-10,DHS Yearbook Table 1
1890,62979766,0.148,3.87,5246613,Census POP-WP056 / NHGIS 1890_cPHAM NT1,Census POP-WP081 / NHGIS 1890_cPHAM NT5,Haines Ab1-10,DHS Yearbook Table 1
1900,76212168,0.137,3.56,3687564,Census POP-WP056 / NHGIS 1900_cPHAM NT1,Census POP-WP081 / NHGIS 1900_cPHAM NT4,Haines Ab1-10,DHS Yearbook Table 1
1910,92228496,0.146,3.42,8795386,Census POP-WP056 / NHGIS 1910_cPHA NT1,Census POP-WP081 / NHGIS 1910_cPHA NT8,Haines Ab1-10,DHS Yearbook Table 1
1920,106021537,0.132,3.17,5735811,Census POP-WP056 / NHGIS 1920_cPHAM NT1,Census POP-WP081 / NHGIS 1920_cPHAM NT5,Haines Ab1-10,DHS Yearbook Table 1
1930,123202624,0.116,2.45,4107209,Census POP-WP056 / NHGIS 1930_cPAE NT1,Census POP-WP081 / NHGIS 1930_cPAE NT5,Haines Ab1-10,DHS Yearbook Table 1
1940,132164569,0.088,2.30,528431,Census POP-WP056 / NHGIS 1940_cPHAE NT1,Census POP-WP081 / NHGIS 1940_cPHAE NT5,Haines Ab1-10,DHS Yearbook Table 1
1950,151325798,0.069,3.00,1035039,Census POP-WP056 / NHGIS 1950_cPHA NT6,Census POP-WP081 / NHGIS 1950_cPHA NT9A,Haines Ab1-10,DHS Yearbook Table 1
1960,179323175,0.054,3.65,2515479,Census POP-WP056 / NHGIS 1960_cPop NT1,Census POP-WP081 / NHGIS 1960_cPop NT2,NCHS Vital Statistics,DHS Yearbook Table 1
1970,203211926,0.047,2.48,3321677,Census POP-WP056 / NHGIS 1970_Cnt4Pa NT105,Census POP-WP081 / NHGIS 1970_Cnt4Pa NT107,NCHS Vital Statistics,DHS Yearbook Table 1
1980,226545805,0.060,1.84,4493314,Census 1980 official count,Census POP-WP081 / NHGIS 1980_STF4Pa NTPA93,NCHS Vital Statistics,DHS Yearbook Table 1
1990,248709873,0.079,2.08,7338062,Census 1990 official count / NHGIS 1990_STF1 NP6,Census ACS / NHGIS 1990_STF3 NP42,NCHS Vital Statistics,DHS Yearbook Table 1
2000,281421906,0.111,2.06,9095417,Census 2000 API dec/sf1 P001001,Census ACS 5-year B05002,NCHS Vital Statistics,DHS Yearbook Table 1
2010,308745538,0.129,1.93,10299430,Census 2010 API dec/sf1 P001001,Census ACS 5-year B05002,NCHS Vital Statistics,DHS Yearbook Table 1
2020,331449281,0.146,1.64,10250000,Census 2020 API dec/pl P1_001N,Census ACS 5-year B05002,NCHS Vital Statistics,DHS Yearbook Table 1
