year,state,abbr,fips,total,white,black,aian,foreign_born,native_parentage
1790,Connecticut,CT,09,237655,232236,5419,,,
1790,Delaware,DE,10,59096,46310,12786,,,
1790,Georgia,GA,13,82548,52886,29662,,,
1790,Massachusetts,MA,25,475199,469294,5905,,,
1790,Maryland,MD,24,319728,208649,111079,,,
1790,North Carolina,NC,37,395005,289181,105824,,,
1790,New Hampshire,NH,33,141899,141112,787,,,
1790,New Jersey,NJ,34,184139,169954,14185,,,
1790,New York,NY,36,340241,314366,25875,,,
1790,Pennsylvania,PA,42,433611,423373,10238,,,
1790,Rhode Island,RI,44,69112,64670,4442,,,
1790,South Carolina,SC,45,249073,140178,108895,,,
1790,Tennessee,TN,47,35691,31913,3778,,,
1790,Virginia,VA,51,821287,503250,318037,,,
1790,Vermont,VT,50,85341,85072,269,,,
1800,Connecticut,CT,09,251002,,,,,
1800,District of Columbia,DC,11,14093,,,,,
1800,Delaware,DE,10,64273,,,,,
1800,Georgia,GA,13,162686,,,,,
1800,Indiana,IN,18,5641,,,,,
1800,Kentucky,KY,21,220955,,,,,
1800,Massachusetts,MA,25,574564,,,,,
1800,Maryland,MD,24,341548,,,,,
1800,Mississippi,MS,28,8850,,,,,
1800,North Carolina,NC,37,478103,,,,,
1800,New Hampshire,NH,33,183858,,,,,
1800,New Jersey,NJ,34,211149,,,,,
1800,New York,NY,36,586761,,,,,
1800,Pennsylvania,PA,42,602365,,,,,
1800,Rhode Island,RI,44,69122,,,,,
1800,South Carolina,SC,45,345591,,,,,
1800,Tennessee,TN,47,105602,,,,,
1800,Virginia,VA,51,880200,,,,,
1800,Vermont,VT,50,154465,,,,,
1810,Connecticut,CT,09,262042,,,,,
1810,District of Columbia,DC,11,24023,,,,,
1810,Delaware,DE,10,72674,,,,,
1810,Georgia,GA,13,252433,,,,,
1810,Indiana,IN,18,24520,,,,,
1810,Kentucky,KY,21,406511,,,,,
1810,Louisiana,LA,22,76556,,,,,
1810,Massachusetts,MA,25,700745,,,,,
1810,Maryland,MD,24,380546,,,,,
1810,Michigan,MI,26,4762,,,,,
1810,Mississippi,MS,28,40352,,,,,
1810,North Carolina,NC,37,555500,,,,,
1810,New Hampshire,NH,33,214360,,,,,
1810,New Jersey,NJ,34,245555,,,,,
1810,New York,NY,36,959049,,,,,
1810,Ohio,OH,39,230760,,,,,
1810,Pennsylvania,PA,42,810091,,,,,
1810,Rhode Island,RI,44,77031,,,,,
1810,South Carolina,SC,45,415115,,,,,
1810,Tennessee,TN,47,261727,,,,,
1810,Virginia,VA,51,974622,,,,,
1810,Vermont,VT,50,217713,,,,,
1820,Alabama,AL,01,127901,,,,,
1820,Connecticut,CT,09,275202,,,,,
1820,District of Columbia,DC,11,33039,,,,,
1820,Delaware,DE,10,72749,,,,,
1820,Georgia,GA,13,340989,,,,,
1820,Illinois,IL,17,55211,,,,,
1820,Indiana,IN,18,147178,,,,,
1820,Kentucky,KY,21,564317,,,,,
1820,Louisiana,LA,22,153407,,,,,
1820,Massachusetts,MA,25,523287,,,,,
1820,Maryland,MD,24,407350,,,,,
1820,Maine,ME,23,298335,,,,,
1820,Michigan,MI,26,8896,,,,,
1820,Missouri,MO,29,66586,,,,,
1820,Mississippi,MS,28,75448,,,,,
1820,North Carolina,NC,37,638829,,,,,
1820,New Hampshire,NH,33,244161,,,,,
1820,New Jersey,NJ,34,277575,,,,,
1820,New York,NY,36,1372812,,,,,
1820,Ohio,OH,39,581434,,,,,
1820,Pennsylvania,PA,42,1049458,,,,,
1820,Rhode Island,RI,44,83059,,,,,
1820,South Carolina,SC,45,502741,,,,,
1820,Tennessee,TN,47,422813,,,,,
1820,Virginia,VA,51,1065379,,,,,
1820,Vermont,VT,50,235764,,,,,
1830,Alabama,AL,01,309527,190406,119121,,65,
1830,Connecticut,CT,09,297675,289603,8072,,1481,
1830,District of Columbia,DC,11,39834,27563,12271,,724,
1830,Delaware,DE,10,76748,57601,19147,,313,
1830,Florida,FL,12,34730,18385,16345,,221,
1830,Georgia,GA,13,516823,296806,220017,,101,
1830,Illinois,IL,17,157445,155061,2384,,451,
1830,Indiana,IN,18,343031,339399,3632,,279,
1830,Kentucky,KY,21,687917,517787,170130,,173,
1830,Louisiana,LA,22,215739,89231,126298,,1713,
1830,Massachusetts,MA,25,610408,603359,7049,,8787,
1830,Maryland,MD,24,447040,291108,155932,,4786,
1830,Maine,ME,23,399455,398263,1192,,3526,
1830,Michigan,MI,26,31639,31346,293,,1497,
1830,Missouri,MO,29,140455,114795,25660,,155,
1830,Mississippi,MS,28,136621,70443,66178,,72,
1830,North Carolina,NC,37,737987,472843,265144,,202,
1830,New Hampshire,NH,33,269328,268721,607,,410,
1830,New Jersey,NJ,34,320823,300266,20557,,3365,
1830,New York,NY,36,1918608,1868061,44945,,52488,
1830,Ohio,OH,39,937903,928329,9574,,5778,
1830,Pennsylvania,PA,42,1348233,1309900,38333,,15376,
1830,Rhode Island,RI,44,97199,93621,3578,,1100,
1830,South Carolina,SC,45,581185,257863,323322,,486,
1830,Tennessee,TN,47,681904,535746,146158,,119,
1830,Virginia,VA,51,1211405,694300,517105,,789,
1830,Vermont,VT,50,280652,279771,881,,3364,
1840,Alabama,AL,01,590756,,,,,
1840,Arkansas,AR,05,97574,,,,,
1840,Connecticut,CT,09,309978,,,,,
1840,District of Columbia,DC,11,43712,,,,,
1840,Delaware,DE,10,78085,,,,,
1840,Florida,FL,12,54477,,,,,
1840,Georgia,GA,13,691392,,,,,
1840,Iowa,IA,19,43112,,,,,
1840,Illinois,IL,17,476183,,,,,
1840,Indiana,IN,18,685866,,,,,
1840,Kentucky,KY,21,779828,,,,,
1840,Louisiana,LA,22,352411,,,,,
1840,Massachusetts,MA,25,737699,,,,,
1840,Maryland,MD,24,470019,,,,,
1840,Maine,ME,23,501793,,,,,
1840,Michigan,MI,26,212267,,,,,
1840,Missouri,MO,29,383702,,,,,
1840,Mississippi,MS,28,375651,,,,,
1840,North Carolina,NC,37,753419,,,,,
1840,New Hampshire,NH,33,284574,,,,,
1840,New Jersey,NJ,34,373306,,,,,
1840,New York,NY,36,2428921,,,,,
1840,Ohio,OH,39,1519467,,,,,
1840,Pennsylvania,PA,42,1724033,,,,,
1840,Rhode Island,RI,44,108830,,,,,
1840,South Carolina,SC,45,594398,,,,,
1840,Tennessee,TN,47,829210,,,,,
1840,Virginia,VA,51,1239797,,,,,
1840,Vermont,VT,50,291948,,,,,
1840,Wisconsin,WI,55,30945,,,,,
1850,Alabama,AL,01,771623,426514,345109,,7509,
1850,Arkansas,AR,05,209897,162189,47708,,1471,
1850,California,CA,06,92597,91635,962,,21802,
1850,Connecticut,CT,09,370792,363099,7693,,38518,
1850,District of Columbia,DC,11,51687,37941,13746,,4918,
1850,Delaware,DE,10,91532,71169,20363,,5253,
1850,Florida,FL,12,87445,47203,40242,,2769,
1850,Georgia,GA,13,906185,521572,384613,,6488,
1850,Iowa,IA,19,192214,191881,333,,20969,
1850,Illinois,IL,17,851470,846034,5436,,111892,
1850,Indiana,IN,18,988416,977154,11262,,55572,
1850,Kentucky,KY,21,982405,761413,220992,,31420,
1850,Louisiana,LA,22,517762,255491,262271,,68233,
1850,Massachusetts,MA,25,994514,985450,9064,,164024,
1850,Maryland,MD,24,583034,417943,165091,,51209,
1850,Maine,ME,23,583169,581813,1356,,31825,
1850,Michigan,MI,26,397654,395071,2583,,54703,
1850,Minnesota,MN,27,6077,6038,39,,1977,
1850,Missouri,MO,29,682044,592004,90040,,76592,
1850,Mississippi,MS,28,606526,295718,310808,,4788,
1850,North Carolina,NC,37,869039,553028,316011,,2581,
1850,New Hampshire,NH,33,317976,317456,520,,14265,
1850,New Jersey,NJ,34,489555,465509,24046,,59948,
1850,New Mexico,NM,35,61547,61525,22,,2151,
1850,New York,NY,36,3097394,3048325,49069,,655929,
1850,Ohio,OH,39,1980329,1955050,25279,,218193,
1850,Oregon,OR,41,13294,13087,207,,1022,
1850,Pennsylvania,PA,42,2311786,2258160,53626,,303417,
1850,Rhode Island,RI,44,147545,143875,3670,,23902,
1850,South Carolina,SC,45,668507,274563,393944,,8707,
1850,Tennessee,TN,47,1002717,756836,245881,,5653,
1850,Texas,TX,48,212592,154034,58558,,17681,
1850,Utah,UT,49,11380,11330,50,,2044,
1850,Virginia,VA,51,1421661,894800,526861,,22985,
1850,Vermont,VT,50,314120,313402,718,,33715,
1850,Wisconsin,WI,55,305391,304756,635,,110477,
1860,Alabama,AL,01,964201,526271,437770,160,12352,
1860,Arkansas,AR,05,435450,324143,111259,48,3600,
1860,California,CA,06,379994,323177,4086,17798,146528,
1860,Colorado,CO,08,34277,34231,46,0,2666,
1860,Connecticut,CT,09,460147,451504,8627,16,80696,
1860,District of Columbia,DC,11,75080,60763,14316,1,12484,
1860,Delaware,DE,10,112216,90589,21627,0,9165,
1860,Florida,FL,12,140424,77746,62677,1,3309,
1860,Georgia,GA,13,1057286,591550,465698,38,11671,
1860,Iowa,IA,19,674913,673779,1069,65,106077,
1860,Illinois,IL,17,1711951,1704291,7628,32,324643,
1860,Indiana,IN,18,1350428,1338710,11428,290,118284,
1860,Kansas,KS,20,107206,106390,627,189,12691,
1860,Kentucky,KY,21,1155684,919484,236167,33,59799,
1860,Louisiana,LA,22,708002,357456,350373,173,80975,
1860,Massachusetts,MA,25,1231066,1221432,9602,32,260106,
1860,Maryland,MD,24,687049,515918,171131,0,77529,
