state,abbr,population,qualifying_share,counted_population,counted_population_share_of_us,actual_house_2024,hypothetical_house,house_change,actual_ev_2024,hypothetical_ev,ev_change,fips,foreign_born_share,second_generation_proxy,third_plus_proxy,black_alone_share,old_stock_factor,fertility_factor,average_qualifying_ancestry,any_qualifying_ancestor_share,primary_qualifying_ancestry_share,average_qualifying_ancestry_uncalibrated,any_qualifying_ancestor_share_uncalibrated,primary_qualifying_ancestry_share_uncalibrated
Texas,TX,29145505,0.5997725549658832,17480673.999620926,0.09888374843628135,38,43,5,40,45,5,48,0.0,0.0,0.0,0.1219054876558151,0.0,0.0,0.2918298651420741,0.5997725549658832,0.2061031084154662,0.293868590521939,0.6038286580742988,0.2076952236542835
California,CA,39538223,0.3839038703367333,15178876.835936846,0.08586306446894586,52,37,-15,54,39,-15,6,0.0,0.0,0.0,0.0565792751990902,0.0,0.0,0.1583607208378452,0.3839038703367333,0.0840296213497275,0.1516651093335196,0.3680033533603465,0.0808439290205393
Florida,FL,21538187,0.4784816619646063,10305627.511464478,0.05829632646565986,28,25,-3,30,27,-3,12,0.0,0.0,0.0,0.1507267533706527,0.0,0.0,0.1918480199249807,0.4784816619646063,0.1036505086774386,0.2021362429919931,0.4918184149781995,0.1149525519363939
New York,NY,20201249,0.3810799970830598,7698291.9099941645,0.043547288887913045,26,19,-7,28,21,-7,36,0.0,0.0,0.0,0.1478211569987578,0.0,0.0,0.1706936962189163,0.3810799970830598,0.0974075694596368,0.1641467154299866,0.3759024283526581,0.0908444541675782
Ohio,OH,11799448,0.660892634207241,7798168.270911361,0.04411226418279478,15,19,4,17,21,4,39,0.0,0.0,0.0,0.1253262864500102,0.0,0.0,0.3970203718740246,0.660892634207241,0.3369850187265917,0.399810791015625,0.6626404494382022,0.3527153558052434
Pennsylvania,PA,13002700,0.589259920129153,7661969.963463337,0.04334182482951642,17,19,2,19,21,2,42,0.0,0.0,0.0,0.1094518061633353,0.0,0.0,0.3264354652112851,0.589259920129153,0.2522729203840598,0.3313774908193665,0.5943580593083525,0.262384229756139
North Carolina,NC,10439388,0.6676544255123998,6969903.597841041,0.039426980562019036,14,17,3,16,19,3,37,0.0,0.0,0.0,0.2050136463938307,0.0,0.0,0.3600717033789675,0.6676544255123998,0.2903305464423043,0.3537387337201688,0.6639856069425336,0.2862736797544714
Georgia,GA,10711908,0.6061262376237624,6492768.493811881,0.03672794804199369,14,16,2,16,18,2,13,0.0,0.0,0.0,0.3099833381690731,0.0,0.0,0.2793244109033095,0.6061262376237624,0.1859873487348734,0.2949297687794902,0.6231435643564357,0.2017326732673267
Illinois,IL,12812508,0.51634043287057,6615615.92687764,0.037422864878013905,17,16,-1,19,18,-1,17,0.0,0.0,0.0,0.1411332582192339,0.0,0.0,0.2590534481798454,0.51634043287057,0.1736656031732344,0.250197226131354,0.5009054065706648,0.1648702250582047
Indiana,IN,6785528,0.7751546727450341,5259833.736242266,0.029753548175689613,9,13,4,11,15,4,18,0.0,0.0,0.0,0.0955729605713807,0.0,0.0,0.5716265611432215,0.7751546727450341,0.5644741126668837,0.5802572952812093,0.775805926408336,0.5652881797460111
Virginia,VA,8631393,0.6155487284519543,5313042.985919099,0.03005453943378649,11,13,2,13,15,2,51,0.0,0.0,0.0,0.186248152528798,0.0,0.0,0.2910775026580868,0.6155487284519543,0.1929510155316607,0.2991438327052931,0.6191756272401434,0.2045570916538658
Michigan,MI,10077331,0.4858750867960384,4896324.074297409,0.02769726602279937,13,12,-1,15,14,-1,26,0.0,0.0,0.0,0.1366015465801411,0.0,0.0,0.2305122283198342,0.4858750867960384,0.1461097101925958,0.2410719906757071,0.5030150202828637,0.1576581515184738
Tennessee,TN,6910840,0.724806821209699,5009023.972288836,0.028334780821257403,9,12,3,11,14,3,47,0.0,0.0,0.0,0.1581498052335172,0.0,0.0,0.4166561054541783,0.724806821209699,0.374740207833733,0.4185930747589428,0.7368505195843326,0.3776179056754596
Missouri,MO,6154913,0.7168072757733501,4411886.420151978,0.024956924825050485,8,11,3,10,13,3,29,0.0,0.0,0.0,0.1137042879403819,0.0,0.0,0.4625456063685922,0.7168072757733501,0.4293065278525698,0.4553444293516368,0.706874887811883,0.4211093161012386
New Jersey,NJ,9288994,0.4312955915001585,4006302.1616714234,0.0226626373286887,12,10,-2,14,12,-2,34,0.0,0.0,0.0,0.131313466237571,0.0,0.0,0.2061772030419937,0.4312955915001585,0.1268236600063431,0.2243465347362631,0.4448144624167459,0.1471217887725975
Kentucky,KY,4505836,0.7677783227072094,3459483.2064737612,0.019569420899669523,6,9,3,8,11,3,21,0.0,0.0,0.0,0.0804327987081642,0.0,0.0,0.5176006028401573,0.7677783227072094,0.5186365865620403,0.5065211155298821,0.7645904855321236,0.5120156939676312
Maryland,MD,6177224,0.613903296965361,3792218.179693555,0.02145161842755274,8,9,1,10,11,1,24,0.0,0.0,0.0,0.294707137057034,0.0,0.0,0.3142278120086039,0.613903296965361,0.2414594884636022,0.3013836542196722,0.6131282418172063,0.2275084957968163
