state,abbr,population,qualifying_share,counted_population,counted_population_share_of_us,actual_house_2024,hypothetical_house,house_change,actual_ev_2024,hypothetical_ev,ev_change,fips,foreign_born_share,second_generation_proxy,third_plus_proxy,black_alone_share,old_stock_factor,fertility_factor,average_qualifying_ancestry,any_qualifying_ancestor_share,primary_qualifying_ancestry_share,average_qualifying_ancestry_uncalibrated,any_qualifying_ancestor_share_uncalibrated,primary_qualifying_ancestry_share_uncalibrated
Texas,TX,29145505,0.2898237879070702,8447060.659564454,0.0936901415113371,38,41,3,40,43,3,48,0.0,0.0,0.0,0.1219054876558151,0.0,0.0,0.2898237879070702,0.5937111924852732,0.2063342961766779,0.2826397925941348,0.5869856938158164,0.1968749289239657
California,CA,39538223,0.1612097970473143,6373948.905441455,0.07069632846316433,52,31,-21,54,33,-21,6,0.0,0.0,0.0,0.0565792751990902,0.0,0.0,0.1612097970473143,0.3881310463927032,0.0863169190013916,0.1579915271459258,0.3837164461881528,0.0843099777006522
Ohio,OH,11799448,0.3990452253363105,4708513.386004078,0.05222423553254005,15,23,8,17,25,8,39,0.0,0.0,0.0,0.1253262864500102,0.0,0.0,0.3990452253363105,0.6547303370786517,0.3424494382022472,0.3961673110790467,0.6531179775280899,0.3366573033707865
Pennsylvania,PA,13002700,0.3253664243971849,4230642.006509276,0.04692394955455414,17,20,3,19,22,3,42,0.0,0.0,0.0,0.1094518061633353,0.0,0.0,0.3253664243971849,0.5877236808564874,0.2481162375732857,0.3200969430581666,0.5795054804996176,0.2421616110119806
Florida,FL,21538187,0.1865986796591568,4018997.2564520156,0.0445765026280846,28,19,-9,30,21,-9,12,0.0,0.0,0.0,0.1507267533706527,0.0,0.0,0.1865986796591568,0.4712381890369641,0.0985011233880151,0.1875201368488942,0.4743929088055154,0.097211535502139
Indiana,IN,6785528,0.5653825885851712,3836419.38555716,0.04255144950601318,9,19,10,11,21,10,18,0.0,0.0,0.0,0.0955729605713807,0.0,0.0,0.5653825885851712,0.7648788589292692,0.5590171942164909,0.5730359046521621,0.7669988276670574,0.5698026572880032
North Carolina,NC,10439388,0.3520423933731168,3675107.136870595,0.04076226294561555,14,18,4,16,20,4,37,0.0,0.0,0.0,0.2050136463938307,0.0,0.0,0.3520423933731168,0.6751968503937008,0.2777241554483109,0.353393151610522,0.6776416052832106,0.2722885445770892
New York,NY,20201249,0.1713779718597206,3462049.0826532086,0.03839914042829882,26,17,-9,28,19,-9,36,0.0,0.0,0.0,0.1478211569987578,0.0,0.0,0.1713779718597206,0.3867034193082628,0.0969875959834613,0.1686077785122666,0.3787162827328214,0.0951466824177987
Illinois,IL,12812508,0.2602908841821532,3334979.035910911,0.03698974950038379,17,16,-1,19,18,-1,17,0.0,0.0,0.0,0.1411332582192339,0.0,0.0,0.2602908841821532,0.5139848923841059,0.1766297599337748,0.2565281975348264,0.5111237582781457,0.1721336920529801
Tennessee,TN,6910840,0.4462313071417865,3083833.166647744,0.03420417792944788,9,15,6,11,17,6,47,0.0,0.0,0.0,0.1581498052335172,0.0,0.0,0.4462313071417865,0.7364892086330935,0.4183405275779376,0.441057330893098,0.725947242206235,0.4086330935251798
Georgia,GA,10711908,0.2718401103571829,2911926.2528559905,0.03229748118261085,14,14,0,16,16,0,13,0.0,0.0,0.0,0.3099833381690731,0.0,0.0,0.2718401103571829,0.6024877777090166,0.1736864905006498,0.2771008992757277,0.608422550900427,0.1775481156012129
Missouri,MO,6154913,0.4722989928574734,2906959.2110253703,0.03224238949205023,8,14,6,10,16,6,29,0.0,0.0,0.0,0.1137042879403819,0.0,0.0,0.4722989928574734,0.7249973074851912,0.4434033387183629,0.4755698652375303,0.7309639203015617,0.4508346795907377
Michigan,MI,10077331,0.2433509074862168,2452327.6438889843,0.027199866704872185,13,12,-1,15,14,-1,26,0.0,0.0,0.0,0.1366015465801411,0.0,0.0,0.2433509074862168,0.5006183396921458,0.1574003420602552,0.2480055813161405,0.5053611366925405,0.1624786212340481
