state,abbr,population,qualifying_share,counted_population,counted_population_share_of_us,actual_house_2024,hypothetical_house,house_change,actual_ev_2024,hypothetical_ev,ev_change,fips,foreign_born_share,second_generation_proxy,third_plus_proxy,black_alone_share,old_stock_factor,fertility_factor,average_qualifying_ancestry,any_qualifying_ancestor_share,primary_qualifying_ancestry_share,average_qualifying_ancestry_uncalibrated,any_qualifying_ancestor_share_uncalibrated,primary_qualifying_ancestry_share_uncalibrated
Texas,TX,29145505,0.3955269143290372,11527831.659211526,0.10146774085683241,38,44,6,40,46,6,48,0.0,0.0,0.0,0.1219054876558151,0.0,0.0,0.4279083822663456,0.6924311346980035,0.3955269143290372,0.4326365461486862,0.7035633055344959,0.4058377558756634
California,CA,39538223,0.183093474919659,7239190.641218385,0.06371920944988838,52,27,-25,54,29,-25,6,0.0,0.0,0.0,0.0565792751990902,0.0,0.0,0.2592538785736793,0.5038051325043081,0.183093474919659,0.2596899267380274,0.5101019980438731,0.1830655302501048
Ohio,OH,11799448,0.5070536828963795,5982953.56454432,0.05266183613642111,15,23,8,17,25,8,39,0.0,0.0,0.0,0.1253262864500102,0.0,0.0,0.5231105752056755,0.7363607990012485,0.5070536828963795,0.5223515142662248,0.7402621722846442,0.5000936329588015
Florida,FL,21538187,0.2511413182867402,5409128.67668633,0.04761104109190378,28,21,-7,30,23,-7,12,0.0,0.0,0.0,0.1507267533706527,0.0,0.0,0.3248501520906135,0.6165854492604942,0.2511413182867402,0.3505894941010515,0.6431392664785842,0.2793023852269812
North Carolina,NC,10439388,0.5171270328429816,5398489.741136627,0.0475173973966051,14,21,7,16,23,7,37,0.0,0.0,0.0,0.2050136463938307,0.0,0.0,0.5124596574131798,0.7675944544396233,0.5171270328429816,0.5271393542492095,0.7755318023071225,0.5304265001587469
Pennsylvania,PA,13002700,0.411788030702127,5354356.226810547,0.04712893509709175,17,20,3,19,22,3,42,0.0,0.0,0.0,0.1094518061633353,0.0,0.0,0.4545465121945984,0.6866343784518651,0.411788030702127,0.4711677369107931,0.6935168663437845,0.4306228226697255
Indiana,IN,6785528,0.6924454575056984,4698608.040377727,0.04135705283724496,9,18,9,11,20,9,18,0.0,0.0,0.0,0.0955729605713807,0.0,0.0,0.6846299829279109,0.8186801259090416,0.6924454575056984,0.6711953454124776,0.810159557147509,0.6709540866167372
Georgia,GA,10711908,0.3905046754675467,4183050.157178217,0.03681912278798165,14,16,2,16,18,2,13,0.0,0.0,0.0,0.3099833381690731,0.0,0.0,0.4295074223685186,0.7262788778877888,0.3905046754675467,0.4355432239696137,0.7281353135313532,0.3939768976897689
Illinois,IL,12812508,0.3213762179874105,4117635.363973441,0.036243343102666616,17,16,-1,19,18,-1,17,0.0,0.0,0.0,0.1411332582192339,0.0,0.0,0.377685543366325,0.6200454140438619,0.3213762179874105,0.3819448292291379,0.626886263688885,0.3221522807622661
Tennessee,TN,6910840,0.6263256061817213,4328436.052224887,0.038098806492509574,9,16,7,11,18,7,47,0.0,0.0,0.0,0.1581498052335172,0.0,0.0,0.5936196940884791,0.8063415933919531,0.6263256061817213,0.5922131435476619,0.806554756195044,0.6214228617106315
