state,abbr,fips,population,foreign_born_share,second_generation_proxy,third_plus_proxy,black_alone_share,old_stock_factor,fertility_factor,average_qualifying_ancestry,any_qualifying_ancestor_share,primary_qualifying_ancestry_share,average_qualifying_ancestry_uncalibrated,any_qualifying_ancestor_share_uncalibrated,primary_qualifying_ancestry_share_uncalibrated
Alaska,AK,02,733391,0.0,0.0,0.0,0.029858561122239023,0.0,0.0,0.3281833388240462,0.6094377510040161,0.2354417670682731,0.36719117681664154,0.6716867469879518,0.2786144578313253
Alabama,AL,01,5024279,0.0,0.0,0.0,0.2579797021622406,0.0,0.0,0.38319558462625514,0.6918792143066549,0.3179419525065963,0.37962111822847955,0.6820580474934037,0.3073878627968338
Arkansas,AR,05,3011524,0.0,0.0,0.0,0.1506821795210664,0.0,0.0,0.5971561468268526,0.8041085840058694,0.6144534115920762,0.5925218633930209,0.80997798972854,0.5898752751283932
Arizona,AZ,04,7151502,0.0,0.0,0.0,0.047423604160356805,0.0,0.0,0.2977250856120295,0.5692878109068439,0.21515011071630877,0.30154561797562957,0.5753128379422215,0.22014521860033986
California,CA,06,39538223,0.0,0.0,0.0,0.056579275199090256,0.0,0.0,0.2592538785736793,0.5038051325043081,0.18309347491965908,0.25968992673802743,0.5101019980438731,0.1830655302501048
Colorado,CO,08,5773714,0.0,0.0,0.0,0.040671914126678255,0.0,0.0,0.43797296990483287,0.6784028575073351,0.3945018497257304,0.4059970649868147,0.6588212782242633,0.3484500574052813
Connecticut,CT,09,3605944,0.0,0.0,0.0,0.10778730895432652,0.0,0.0,0.2794064789815666,0.5225694444444444,0.1977124183006536,0.30906856761259194,0.5487132352941176,0.22518382352941177
District of Columbia,DC,11,689545,0.0,0.0,0.0,0.41449071489170397,0.0,0.0,0.38042710785172945,0.6698717948717948,0.3055555555555555,0.3700209397536058,0.6506410256410257,0.2980769230769231
Delaware,DE,10,989948,0.0,0.0,0.0,0.22112171548404563,0.0,0.0,0.5297619047619048,0.7686011904761906,0.5107886904761905,0.5070122310093471,0.7700892857142857,0.47879464285714285
Florida,FL,12,21538187,0.0,0.0,0.0,0.15072675337065278,0.0,0.0,0.3248501520906135,0.6165854492604942,0.2511413182867402,0.35058949410105156,0.6431392664785842,0.27930238522698125
Georgia,GA,13,10711908,0.0,0.0,0.0,0.30998333816907314,0.0,0.0,0.42950742236851863,0.7262788778877888,0.39050467546754675,0.43554322396961376,0.7281353135313532,0.39397689768976896
Hawaii,HI,15,1455271,0.0,0.0,0.0,0.016091161027739852,0.0,0.0,0.35898107530134776,0.5854214123006833,0.3120728929384966,0.38297396278236523,0.6013667425968109,0.3439635535307517
Iowa,IA,19,3190369,0.0,0.0,0.0,0.04136574797460733,0.0,0.0,0.5228548199626327,0.7412280701754387,0.5070406278855032,0.5299458596184643,0.7510387811634349,0.5225069252077562
Idaho,ID,16,1839106,0.0,0.0,0.0,0.008550893749463054,0.0,0.0,0.3087066558746246,0.6026026026026026,0.23823823823823823,0.2500749284440691,0.5417417417417417,0.17177177177177178
Illinois,IL,17,12812508,0.0,0.0,0.0,0.1411332582192339,0.0,0.0,0.37768554336632504,0.6200454140438619,0.3213762179874105,0.3819448292291379,0.626886263688885,0.3221522807622661
Indiana,IN,18,6785528,0.0,0.0,0.0,0.09557296057138073,0.0,0.0,0.6846299829279109,0.8186801259090416,0.6924454575056984,0.6711953454124776,0.810159557147509,0.6709540866167372
Kansas,KS,20,2937880,0.0,0.0,0.0,0.057459460563399456,0.0,0.0,0.594720288358327,0.7786135138523255,0.5973423592829384,0.5845703492266829,0.78412937194434,0.5968409176382099
Kentucky,KY,21,4505836,0.0,0.0,0.0,0.08043279870816426,0.0,0.0,0.6377565571933239,0.8173124080431583,0.6689553702795488,0.6542772383827857,0.8293281020107895,0.7032859244727808
Louisiana,LA,22,4657757,0.0,0.0,0.0,0.3143193172164198,0.0,0.0,0.36335492842865474,0.6750474383301709,0.2898481973434535,0.38112615769909275,0.6916508538899431,0.3161764705882353
Massachusetts,MA,25,7029917,0.0,0.0,0.0,0.07027522515557438,0.0,0.0,0.26054325810185186,0.5068363979255068,0.17811304940017814,0.2615552222074886,0.517051705170517,0.17743202891717744
Maryland,MD,24,6177224,0.0,0.0,0.0,0.29470713705703405,0.0,0.0,0.449307167827852,0.7019018660943183,0.421093423955166,0.42390397409061437,0.6802003219459846,0.39080665355034877
Maine,ME,23,1362359,0.0,0.0,0.0,0.018902506608023287,0.0,0.0,0.4904558770106786,0.6980264936469315,0.4547174912138416,0.4728075261050284,0.6901865369018654,0.44120032441200324
Michigan,MI,26,10077331,0.0,0.0,0.0,0.13660154658014112,0.0,0.0,0.3467743663817815,0.6096188283448453,0.2794649709461682,0.35184451574662867,0.6237254686986076,0.2837408178927749
Minnesota,MN,27,5706494,0.0,0.0,0.0,0.0698211546354031,0.0,0.0,0.2919259055655554,0.5568893191352049,0.2080671184252985,0.30479802503705833,0.569215876089061,0.21665053242981608
Missouri,MO,29,6154913,0.0,0.0,0.0,0.11370428794038194,0.0,0.0,0.6055816356408091,0.7870519954526417,0.618380901094956,0.6177470053660978,0.7853168192425058,0.6320229761263687
Mississippi,MS,28,2961279,0.0,0.0,0.0,0.36622047432882887,0.0,0.0,0.35816267782182837,0.6672885572139303,0.28582089552238804,0.38143606612931436,0.707089552238806,0.3119402985074627
