state,abbr,fips,population,foreign_born_share,second_generation_proxy,third_plus_proxy,black_alone_share,old_stock_factor,fertility_factor,average_qualifying_ancestry,any_qualifying_ancestor_share,primary_qualifying_ancestry_share,average_qualifying_ancestry_uncalibrated,any_qualifying_ancestor_share_uncalibrated,primary_qualifying_ancestry_share_uncalibrated
Alabama,AL,01,5024279,0.037,0.04858452138288944,0.9144154786171105,0.26,0.94,1.03,0.5037657892602135,0.7876083134756221,0.45668471853509784,0.40889929019133264,0.5362883370132732,0.37182789940968275
Alaska,AK,02,733391,0.08,0.08335270778022749,0.8366472922197725,0.03,0.48,1.07,0.3229391609117279,0.5091792589930426,0.2901994726751732,0.2621249725307997,0.3467039305895816,0.23627736150386308
Arizona,AZ,04,7151502,0.135,0.120223774793981,0.744776225206019,0.05,0.62,1.06,0.36213335953419057,0.5765372552409241,0.3220986179896851,0.2939383277407241,0.39256848937377575,0.2622493104521562
Arkansas,AR,05,3011524,0.05,0.059984041693027505,0.8900159583069724,0.15,1.02,1.04,0.6217679347315139,0.9753312065730896,0.5617270640930093,0.5046798980708918,0.6641102459952907,0.45735227347490015
California,CA,06,39538223,0.267,0.19378252248673494,0.539217477513265,0.055,0.48,0.96,0.19660890668684142,0.32193889308225343,0.16954120418384733,0.15958456112631608,0.2192105779446163,0.13803866706396747
Colorado,CO,08,5773714,0.1,0.09744436321658786,0.8025556367834121,0.04,0.78,0.98,0.4871093089801419,0.7707281332590676,0.4361123789323898,0.39537946985258154,0.5247944972176112,0.35507811666031824
Connecticut,CT,09,3605944,0.155,0.1324307719588828,0.7125692280411171,0.11,0.92,0.92,0.45207858569570614,0.723085266393083,0.4000990225798152,0.36694554640785976,0.49235411612341834,0.3257564203131675
Delaware,DE,10,989948,0.1,0.09744436321658786,0.8025556367834121,0.22,0.88,0.98,0.42055948542511695,0.6665130885375744,0.3758827164317718,0.34136195577333145,0.4538337010081087,0.3060397582900287
District of Columbia,DC,11,689545,0.14,0.12332364342869569,0.7366763565713043,0.44,0.55,0.88,0.13270648753309788,0.2139069255507509,0.11646409365254234,0.1077159063058955,0.14565081070945918,0.09482384135467689
Florida,FL,12,21538187,0.21,0.1637986161163232,0.6262013838836769,0.15,0.62,0.92,0.24432119766026536,0.3960459816472313,0.2130860683782321,0.19831192675605716,0.26967064369992455,0.1734924379617858
Georgia,GA,13,10711908,0.105,0.10082987557261995,0.7941701244273801,0.31,0.8,1.02,0.3217634887926276,0.5111542641717165,0.2868558920128471,0.26117069674382376,0.3480487262510058,0.23355505325985734
Hawaii,HI,15,1455271,0.185,0.14989147448643586,0.665108525513564,0.02,0.3,1.02,0.1626532492884049,0.2612031661819549,0.1433276023717995,0.13202325286719382,0.1778551714318058,0.11669582789693607
Idaho,ID,16,1839106,0.06,0.06814948796887144,0.8718505120311285,0.01,0.76,1.08,0.5455168984862829,0.8570076426636578,0.49207038947938564,0.4427880521739814,0.5835428545231881,0.40063854089254547
Illinois,IL,17,12812508,0.14,0.12332364342869569,0.7366763565713043,0.14,0.86,0.95,0.4207374862725496,0.6713333513271154,0.3733309011354554,0.3415064364461369,0.457115853660818,0.30396209708788824
Indiana,IN,18,6785528,0.055,0.06412252337581774,0.8808774766241823,0.095,1.0,1.0,0.6415820628490616,1.0,0.5791360488844075,0.5207627347695156,0.685834295655358,0.47152648597450936
Iowa,IA,19,3190369,0.055,0.06412252337581774,0.8808774766241823,0.04,1.05,1.0,0.7206891754404124,1.0,0.650650511801023,0.5849728158772283,0.7702758051155378,0.5297528102732348
Kansas,KS,20,2937880,0.075,0.07967087855349178,0.8453291214465083,0.06,0.94,1.03,0.6093975941642087,0.9601255349965838,0.5480429795809495,0.49463907436822585,0.6537565915411511,0.44621083564491343
Kentucky,KY,21,4505836,0.04,0.05130961026039921,0.9086903897396008,0.08,1.1,1.03,0.7469136534457209,1.0,0.6767372006701191,0.6062588394036689,0.7955566778239511,0.5509923182555991
Louisiana,LA,22,4657757,0.045,0.05571927816268332,0.8992807218373167,0.32,0.78,1.02,0.3701703347439685,0.5803283374092717,0.33462584287989805,0.3004618224452564,0.3951498653150376,0.2724488453332486
Maine,ME,23,1362359,0.04,0.05130961026039921,0.9086903897396008,0.02,1.16,0.92,0.8210822207027054,1.0,0.7440141353252242,0.6664603758169004,0.8744678523779366,0.6057684915678394
Maryland,MD,24,6177224,0.155,0.1324307719588828,0.7125692280411171,0.29,0.78,0.96,0.2730944584374995,0.43892481585631427,0.2404285492320888,0.22166675981365472,0.29886715965540106,0.19575439858343874
Massachusetts,MA,25,7029917,0.18,0.14704405663643205,0.672955943363568,0.075,0.9,0.89,0.43724545072891147,0.7023274764761802,0.3851988260288431,0.3549057086726664,0.47821998314876524,0.3136248368388814
Michigan,MI,26,10077331,0.07,0.0759146073202896,0.8540853926797103,0.135,0.95,0.94,0.5508631841500786,0.8674172038033101,0.49569186574825586,0.4471275537036436,0.5906308018405382,0.40358710881952886
Minnesota,MN,27,5706494,0.09,0.0905162344217584,0.8194837655782417,0.07,0.95,0.98,0.5821563827611783,0.9196957733396918,0.5220572257629474,0.47252778327994294,0.6262276672346802,0.42505350792061763
Mississippi,MS,28,2961279,0.025,0.03692450891010967,0.9380754910898903,0.37,0.85,1.04,0.394886510457687,0.6151022401207497,0.3593429013377535,0.3205235791604656,0.41882767335429605,0.2925732146255931
Missouri,MO,29,6154913,0.045,0.05571927816268332,0.8992807218373167,0.115,1.05,0.99,0.6691759708166007,1.0,0.6053344553553942,0.5431603044776554,0.7138607447090141,0.49285695325450746
Montana,MT,30,1084225,0.025,0.03692450891010967,0.9380754910898903,0.006,0.76,1.02,0.5762594062835816,0.8972456668643317,0.5246147299966364,0.4677412941070571,0.6109412233748993,0.42713580099579274
Nebraska,NE,31,1961504,0.075,0.07967087855349178,0.8453291214465083,0.05,0.95,1.04,0.6252018770595057,0.9849814240278844,0.5622825188398872,0.5074671786096036,0.6706811505707012,0.45780451889360224
Nevada,NV,32,3104614,0.19,0.1527158953016158,0.6572841046983843,0.09,0.46,0.98,0.21776502093994013,0.35064053134920287,0.19133337059752223,0.1767566682557075,0.23875373612664996,0.1557816199860067
New Hampshire,NH,33,1377529,0.065,0.07207689535706756,0.8629231046429325,0.018,1.15,0.9,0.7739314073633659,1.0,0.6974312623740323,0.6281887533339351,0.8286486281040975,0.5678412058608213
New Jersey,NJ,34,9288994,0.235,0.17721652874513483,0.5877834712548652,0.13,0.72,0.95,0.2766747771798617,0.4510080139371997,0.23980004627948084,0.22457285193745793,0.3070946987680905,0.19524267808315438
New Mexico,NM,35,2117522,0.095,0.09400766066477574,0.8109923393352243,0.02,0.52,1.02,0.33988211685476,0.537248660774335,0.3046150951040113,0.27587732095648904,0.36581659426350643,0.24801440981936532
New York,NY,36,20201249,0.225,0.17190340716345587,0.6030965928365442,0.155,0.78,0.92,0.29058797729677177,0.4730256926667626,0.2522545207224725,0.2358659920699965,0.322086699371364,0.2053829803145137
North Carolina,NC,37,10439388,0.085,0.08696609506546628,0.8280339049345338,0.205,0.9,1.0,0.4608144816560936,0.7280379852449084,0.41321868138692497,0.37403634481763953,0.4957264590904684,0.3364383086646483
North Dakota,ND,38,779094,0.045,0.05571927816268332,0.8992807218373167,0.035,0.82,1.08,0.5884608175284651,0.9217804073990871,0.5324151121875622,0.47764500036049695,0.6276471100133639,0.4334867902164267
Ohio,OH,39,11799448,0.05,0.059984041693027505,0.8900159583069724,0.12,1.04,0.97,0.6482085435136885,1.0,0.585668350746062,0.5261413517736825,0.6922900077557785,0.4768450175148686
Oklahoma,OK,40,3959353,0.06,0.06814948796887144,0.8718505120311285,0.07,0.86,1.06,0.5717528032681011,0.8983897420025994,0.5156370145847526,0.46408335064704126,0.6117202326144187,0.41982623943698594
Oregon,OR,41,4237256,0.1,0.09744436321658786,0.8025556367834121,0.02,0.72,0.92,0.45413669937797674,0.7184603186279431,0.406649679317919,0.3686160870474879,0.4892049549181552,0.33108989620107554
Pennsylvania,PA,42,13002700,0.075,0.07967087855349178,0.8453291214465083,0.11,1.04,0.94,0.6171907135823286,0.9726401053643898,0.5549103501897193,0.5009646349092166,0.6622778552405775,0.45180217663858074
Rhode Island,RI,44,1097379,0.145,0.12639046843988785,0.7286095315601121,0.055,0.86,0.9,0.4684214820576265,0.7471403918165868,0.4158082091998295,0.38021083528718846,0.508733429278568,0.33854667500154656
South Carolina,SC,45,5118425,0.055,0.06412252337581774,0.8808774766241823,0.26,0.86,1.0,0.43620603654718737,0.6852507073163042,0.393486750594134,0.35406203145165877,0.4665922844848241,0.32037277793807806
South Dakota,SD,46,886667,0.04,0.05130961026039921,0.9086903897396008,0.025,0.78,1.08,0.5714594249989278,0.8938362040199798,0.5178171504020687,0.463845219816048,0.6086196948592374,0.42160128311258926
